plotname,area,points,devRRT
inputs/sample_2_comp=Target_5.jpeg,1491708819.81,57,2.2e-4
inputs/sample_24_comp=Target_5.jpeg,1024761142.66,61,2.3e-4
inputs/sample_21_comp=Target_5.jpeg,786419689.28,60,7.4e-4
inputs/sample_5_comp=Target_5.jpeg,700288049.05,57,1.3e-4
inputs/sample_19_comp=Target_20.jpeg,1113199.12,1,8e-4
inputs/sample_23_comp=Target_5.jpeg,1212697468.93,51,0.00138
inputs/sample_13_comp=Target_6.jpeg,0,0,1
inputs/sample_15_comp=Target_6.jpeg,0,0,1
inputs/sample_4_comp=Target_6.jpeg,0,0,1
inputs/sample_18_comp=Target_6.jpeg,0,0,1
inputs/sample_14_comp=Target_6.jpeg,13153.4,4,0.00649
inputs/sample_11_comp=Target_6.jpeg,0,0,1
inputs/sample_10_comp=Target_6.jpeg,0,0,1
inputs/sample_3_comp=Target_6.jpeg,0,0,1
inputs/sample_22_comp=Target_6.jpeg,0,0,1
inputs/sample_1_comp=Target_6.jpeg,0,0,1
inputs/sample_24_comp=Target_6.jpeg,0,0,1
inputs/sample_20_comp=Target_6.jpeg,0,0,1
inputs/sample_5_comp=Target_6.jpeg,0,0,1
inputs/sample_12_comp=Target_6.jpeg,0,0,1
inputs/sample_2_comp=Target_6.jpeg,0,0,1
inputs/sample_21_comp=Target_6.jpeg,0,0,1
inputs/sample_17_comp=Target_6.jpeg,0,0,1
inputs/sample_19_comp=Target_21.jpeg,570292.48,2,0.00222
inputs/sample_23_comp=Target_6.jpeg,0,0,1
inputs/sample_13_comp=Target_7.jpeg,424324.28,2,1.3e-4
inputs/sample_15_comp=Target_7.jpeg,269532.75,1,9.5e-4
inputs/sample_4_comp=Target_7.jpeg,529892.16,3,0.00153
inputs/sample_18_comp=Target_7.jpeg,1142028.62,5,0.00149
inputs/sample_20_comp=Target_7.jpeg,626074.19,4,1e-4
inputs/sample_14_comp=Target_7.jpeg,1107024.88,1,0.00578
inputs/sample_5_comp=Target_7.jpeg,324042.67,2,8.2e-4
inputs/sample_24_comp=Target_7.jpeg,484747.91,1,0.01376
inputs/sample_1_comp=Target_7.jpeg,423938.66,1,0.03502
inputs/sample_22_comp=Target_7.jpeg,805576.31,6,0.00309
inputs/sample_3_comp=Target_7.jpeg,304526.32,3,0.00145
inputs/sample_12_comp=Target_7.jpeg,500300.69,1,0.00137
inputs/sample_10_comp=Target_7.jpeg,204523.72,1,0.00179
inputs/sample_11_comp=Target_7.jpeg,179937.02,1,6e-4
inputs/sample_17_comp=Target_7.jpeg,666509.16,3,0.00268
inputs/sample_21_comp=Target_7.jpeg,1022144.19,2,0.02844
inputs/sample_2_comp=Target_7.jpeg,140227.7,1,6.4e-4
inputs/sample_19_comp=Target_22.jpeg,1332428.16,3,3e-5
inputs/sample_23_comp=Target_7.jpeg,475969.09,3,6.9e-4
inputs/sample_13_comp=Target_8.jpeg,71855774.23,25,6e-5
inputs/sample_14_comp=Target_8.jpeg,446710284.12,34,9e-5
inputs/sample_1_comp=Target_8.jpeg,48226148.98,30,2e-4
inputs/sample_10_comp=Target_8.jpeg,75437729.52,29,2.4e-4
inputs/sample_20_comp=Target_8.jpeg,78979587.59,25,1e-4
inputs/sample_18_comp=Target_8.jpeg,47561722.14,23,1e-4
inputs/sample_22_comp=Target_8.jpeg,55722018.61,27,7e-5
inputs/sample_12_comp=Target_8.jpeg,471775760.16,45,6e-5
inputs/sample_15_comp=Target_8.jpeg,105764895.31,35,9e-5
inputs/sample_24_comp=Target_8.jpeg,201940832.69,39,1.5e-4
inputs/sample_21_comp=Target_8.jpeg,199117127.25,39,2.4e-4
inputs/sample_5_comp=Target_8.jpeg,42017444.1,30,1e-4
inputs/sample_3_comp=Target_8.jpeg,81312605.79,32,2.2e-4
inputs/sample_4_comp=Target_8.jpeg,217398643.47,36,2e-5
inputs/sample_2_comp=Target_8.jpeg,407699880.58,45,2e-4
inputs/sample_11_comp=Target_8.jpeg,51978076.66,24,1.6e-4
inputs/sample_17_comp=Target_8.jpeg,121718129.39,37,5e-5
inputs/sample_19_comp=Target_3.jpeg,585383.66,2,0.00307
inputs/sample_23_comp=Target_8.jpeg,197843934.97,41,2e-4
inputs/sample_14_comp=Target_9.jpeg,0,0,1
inputs/sample_1_comp=Target_9.jpeg,57525.55,1,0.00353
inputs/sample_22_comp=Target_9.jpeg,0,0,1
inputs/sample_20_comp=Target_9.jpeg,58408.59,1,0.02067
inputs/sample_13_comp=Target_9.jpeg,0,0,1
inputs/sample_10_comp=Target_9.jpeg,0,0,1
inputs/sample_5_comp=Target_9.jpeg,0,0,1
inputs/sample_21_comp=Target_9.jpeg,0,0,1
inputs/sample_15_comp=Target_9.jpeg,0,0,1
inputs/sample_3_comp=Target_9.jpeg,0,0,1
inputs/sample_4_comp=Target_9.jpeg,0,0,1
inputs/sample_2_comp=Target_9.jpeg,0,0,1
inputs/sample_18_comp=Target_9.jpeg,0,0,1
inputs/sample_12_comp=Target_9.jpeg,0,0,1
inputs/sample_24_comp=Target_9.jpeg,0,0,1
