plotname,area,points,devRRT
inputs/sample_24_comp=Target_20_confirming.jpeg,704464.62,1,3.3e-4
inputs/sample_22_comp=Target_20_confirming.jpeg,803722.5,2,0.00111
inputs/sample_20_comp=Target_20_confirming.jpeg,448574.28,1,0.00634
inputs/sample_2_comp=Target_20_confirming.jpeg,898371.5,1,0.00197
inputs/sample_17_comp=Target_20_confirming.jpeg,280704.22,1,0.00202
inputs/sample_12_comp=Target_20_confirming.jpeg,752935.12,1,0.00182
inputs/sample_3_comp=Target_20_confirming.jpeg,361206.31,1,3e-4
inputs/sample_10_comp=Target_20_confirming.jpeg,480404.59,1,0.01221
inputs/sample_4_comp=Target_20_confirming.jpeg,270872.44,1,0.00416
inputs/sample_21_comp=Target_20_confirming.jpeg,969575,1,0.00215
inputs/sample_23_comp=Target_20_confirming.jpeg,280740.38,1,0.00888
inputs/sample_19_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_20_comp=Target_21_confirming.jpeg,69126.09,1,0.02547
inputs/sample_18_comp=Target_21_confirming.jpeg,0,0,1
inputs/sample_11_comp=Target_21_confirming.jpeg,209907.06,1,0.00469
inputs/sample_1_comp=Target_21_confirming.jpeg,0,0,1
inputs/sample_22_comp=Target_21_confirming.jpeg,200422.98,1,0.00135
inputs/sample_15_comp=Target_21_confirming.jpeg,117254.04,1,0.00677
inputs/sample_3_comp=Target_21_confirming.jpeg,132909.05,1,0.00398
inputs/sample_13_comp=Target_21_confirming.jpeg,0,0,1
inputs/sample_2_comp=Target_21_confirming.jpeg,294297.41,2,0.00324
inputs/sample_10_comp=Target_21_confirming.jpeg,0,0,1
inputs/sample_24_comp=Target_21_confirming.jpeg,0,0,1
inputs/sample_17_comp=Target_21_confirming.jpeg,214185.42,1,0.00258
inputs/sample_14_comp=Target_21_confirming.jpeg,0,0,1
inputs/sample_5_comp=Target_21_confirming.jpeg,164244.22,1,0.00509
inputs/sample_4_comp=Target_21_confirming.jpeg,81606.27,1,0.0066
inputs/sample_12_comp=Target_21_confirming.jpeg,636663.94,2,0.00519
inputs/sample_21_comp=Target_21_confirming.jpeg,0,0,1
inputs/sample_23_comp=Target_21_confirming.jpeg,0,0,1
inputs/sample_19_comp=Target_17_confirming.jpeg,113779.03,7,9e-4
inputs/sample_13_comp=Target_22_confirming.jpeg,146377.28,1,0.02741
inputs/sample_2_comp=Target_22_confirming.jpeg,0,0,1
inputs/sample_20_comp=Target_22_confirming.jpeg,136462.16,1,0.01421
inputs/sample_18_comp=Target_22_confirming.jpeg,0,0,1
inputs/sample_11_comp=Target_22_confirming.jpeg,0,0,1
inputs/sample_14_comp=Target_22_confirming.jpeg,0,0,1
inputs/sample_22_comp=Target_22_confirming.jpeg,306993.31,1,1e-5
inputs/sample_1_comp=Target_22_confirming.jpeg,383109.69,2,0.00683
inputs/sample_15_comp=Target_22_confirming.jpeg,209825.12,1,0.03061
inputs/sample_4_comp=Target_22_confirming.jpeg,0,0,1
inputs/sample_5_comp=Target_22_confirming.jpeg,194369.86,1,0.00559
inputs/sample_12_comp=Target_22_confirming.jpeg,417667.59,1,0.01398
inputs/sample_17_comp=Target_22_confirming.jpeg,614363.44,2,0.00119
inputs/sample_24_comp=Target_22_confirming.jpeg,457315.75,1,0.01188
inputs/sample_3_comp=Target_22_confirming.jpeg,176204.55,1,0.01234
inputs/sample_21_comp=Target_22_confirming.jpeg,0,0,1
inputs/sample_10_comp=Target_22_confirming.jpeg,246537.19,1,0.01114
inputs/sample_23_comp=Target_22_confirming.jpeg,0,0,1
inputs/sample_19_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_14_comp=Target_3_confirming.jpeg,3778180.38,4,4e-4
inputs/sample_13_comp=Target_3_confirming.jpeg,786867.75,2,7.7e-4
inputs/sample_15_comp=Target_3_confirming.jpeg,353319.28,1,0.00182
inputs/sample_1_comp=Target_3_confirming.jpeg,281786.03,1,0.002
inputs/sample_20_comp=Target_3_confirming.jpeg,1793790.69,5,0.00165
inputs/sample_11_comp=Target_3_confirming.jpeg,317275.34,2,7.2e-4
inputs/sample_18_comp=Target_3_confirming.jpeg,120022.39,1,4.7e-4
inputs/sample_17_comp=Target_3_confirming.jpeg,554729.78,2,2.3e-4
inputs/sample_2_comp=Target_3_confirming.jpeg,1492913.25,2,4.6e-4
inputs/sample_22_comp=Target_3_confirming.jpeg,213012.46,2,0.0051
inputs/sample_3_comp=Target_3_confirming.jpeg,359015.17,2,0.00171
inputs/sample_24_comp=Target_3_confirming.jpeg,3802500.12,6,6.5e-4
inputs/sample_4_comp=Target_3_confirming.jpeg,1293226.62,3,3.2e-4
inputs/sample_10_comp=Target_3_confirming.jpeg,366894.09,1,3.9e-4
inputs/sample_12_comp=Target_3_confirming.jpeg,8638432.84,10,5.6e-4
inputs/sample_21_comp=Target_3_confirming.jpeg,496537.31,1,3.3e-4
inputs/sample_5_comp=Target_3_confirming.jpeg,161652.34,2,5.3e-4
inputs/sample_19_comp=Target_19_confirming.jpeg,1502123.02,6,6.2e-4
inputs/sample_23_comp=Target_3_confirming.jpeg,307282.19,2,7.6e-4
inputs/sample_14_comp=Target_4_confirming.jpeg,738664954.38,39,3.2e-4
inputs/sample_13_comp=Target_4_confirming.jpeg,538108838.25,33,3.5e-4
inputs/sample_3_comp=Target_4_confirming.jpeg,432555952.72,42,2e-5
inputs/sample_22_comp=Target_4_confirming.jpeg,454049246.19,43,3e-4
inputs/sample_1_comp=Target_4_confirming.jpeg,339256370.73,30,0.00188
inputs/sample_18_comp=Target_4_confirming.jpeg,352306208.06,32,0.00115
